date,ovx_level,gate_hmm_no_scaleup,gate_hmm_with_scaleup,prob_calm,prob_normal,prob_stress,state,reason
2025-04-21,41.21,0.9299095540276024,0.9299095540276019,7.594803622510591e-38,0.7868130101310499,0.21318698986715579,1,HMM: normal regime (OVX=41.2)
2025-04-22,43.15,0.933647036141058,0.9336470361410575,1.0507225133787372e-32,0.21748890460807435,0.7825110953903205,0,HMM: stress regime (OVX=43.1)
2025-04-23,43.56,0.932562956994323,0.9325629569943226,4.394801335358795e-30,0.7721268547172333,0.22787314528580646,1,HMM: normal regime (OVX=43.6)
2025-04-24,44.37,0.9318802144208469,0.9318802144208463,3.735473207782389e-26,0.24093967948751796,0.7590603205114943,0,HMM: stress regime (OVX=44.4)
2025-04-25,43.53,0.9298900478695632,0.9298900478695626,3.802341551866018e-23,0.7500071105201945,0.24999288948137183,1,HMM: normal regime (OVX=43.5)
2025-04-28,43.55,0.9278282188450652,0.9278282188450646,2.112878167823044e-18,0.2649240228220544,0.73507597718036,0,HMM: stress regime (OVX=43.5)
2025-04-29,48.41,0.9235987031053405,0.9235987031053401,8.407993616712672e-17,0.7280099200563593,0.271990079944543,1,HMM: normal regime (OVX=48.4)
2025-04-30,54.46,0.9154901121699929,0.9154901121699925,2.4570979437332302e-18,0.29113624116895687,0.7088637588288801,0,HMM: stress regime (OVX=54.5)
2025-05-01,51.96,0.9097405100705469,0.9097405100705466,3.072852563326197e-12,0.7107849790640539,0.2892150209335044,1,HMM: normal regime (OVX=52.0)
2025-05-02,50.59,0.9042427654345409,0.9042427654345404,1.2724321791123973e-09,0.3004616242492281,0.6995383744792063,0,HMM: stress regime (OVX=50.6)
2025-05-05,42.58,0.905080933040848,0.9050809330408477,4.934596155836942e-08,0.7014342731875761,0.29856567746319795,1,HMM: normal regime (OVX=42.6)
2025-05-06,42.14,0.9101935097143838,0.9101935097143834,1.2507540200737222e-08,0.3025999203065697,0.6974000671855952,0,HMM: stress regime (OVX=42.1)
2025-05-07,42.66,0.9190788017963701,0.9190788017963696,1.0921111364923e-11,0.6983296185504165,0.30167038143956637,1,HMM: normal regime (OVX=42.7)
2025-05-08,40.6,0.9281421509463899,0.9281421509463895,4.2156616478986984e-11,0.30572018747189783,0.6942798124837781,0,HMM: stress regime (OVX=40.6)
2025-05-09,39.82,0.9369771272418916,0.9369771272418912,3.6808760478159574e-11,0.6958750333775575,0.3041249665847018,1,HMM: normal regime (OVX=39.8)
2025-05-12,37.5,0.9417758477552777,0.9417758477552773,1.8349592176961686e-07,0.3069329828847707,0.6930668336199025,0,HMM: stress regime (OVX=37.5)
2025-05-13,36.71,0.9470030126082063,0.947003012608206,1.0400443227496274e-08,0.6963153802077169,0.30368460939031466,1,HMM: normal regime (OVX=36.7)
2025-05-14,36.72,0.9526774929517033,0.9526774929517028,2.0239693270416734e-09,0.30482662481869455,0.6951733731569304,0,HMM: stress regime (OVX=36.7)
2025-05-15,37.4,0.9557940749708479,0.9557940749708473,1.4336378832630992e-09,0.6984605971878608,0.3015394013816523,1,HMM: normal regime (OVX=37.4)
2025-05-16,37.88,0.9576913745127044,0.957691374512704,1.8945697499922654e-09,0.30240319544295,0.6975968026630286,0,HMM: stress regime (OVX=37.9)
2025-05-19,38.0,0.9571853608060167,0.9571853608060163,2.888634664460315e-10,0.7022957117120623,0.2977042879959037,1,HMM: normal regime (OVX=38.0)
2025-05-20,34.62,0.9594505473419586,0.9594505473419581,1.8480225311499166e-11,0.2990019512441967,0.7009980487399149,0,HMM: stress regime (OVX=34.6)
