date,ovx_level,gate_hmm_no_scaleup,gate_hmm_with_scaleup,state
2023-10-02,32.0,0.9641660265319324,0.9641660265319321,0
2023-10-03,33.25,0.9615762388255804,0.9615762388255801,1
2023-10-04,35.35,0.9566751885842757,0.9566751885842754,2
2023-10-05,36.59,0.9502129152494222,0.9502129152494219,2
2023-10-06,35.68,0.9440504780656322,0.9440504780656319,2
2023-10-09,39.85,0.9335440098119682,0.9335440098119678,2
2023-10-10,39.54,0.9230253170165466,0.9230253170165461,2
2023-10-11,38.94,0.9164717182061178,0.9164717182061175,2
2023-10-12,38.52,0.9130040528833685,0.9130040528833682,2
2023-10-13,44.24,0.8987916021995075,0.898791602199507,2
2023-10-16,40.7,0.8974039431064089,0.8974039431064085,2
2023-10-17,41.37,0.8944338995493906,0.8944338995493902,2
2023-10-18,44.4,0.885906160290688,0.8859061602906877,2
2023-10-19,45.7,0.8748339665590299,0.8748339665590296,2
2023-10-20,43.79,0.8754846502308442,0.8754846502308439,2
2023-10-23,41.74,0.8738397190632885,0.8738397190632881,2
2023-10-24,41.08,0.8742982895259368,0.8742982895259365,2
2023-10-25,44.91,0.8735752466628209,0.8735752466628206,2
2023-10-26,43.93,0.876072880033794,0.8760728800337937,2
2023-10-27,46.64,0.8720985008322968,0.8720985008322965,2
